node_id	longitude	latitude
u1555xww87hh	4.381501	51.194675
u155k005xzxu	4.394875	51.196931
u1557bpnmrk5	4.393389	51.197401
u1557bmf0qkj	4.391457	51.198040
u15578wrkweu	4.381340	51.200316
u15578y2d5eg	4.381233	51.200514
u1555zrpdbrb	4.393287	51.193458
u1557cjtbukj	4.391136	51.202793
u1557c5u1vuj	4.388775	51.202501
u1557ced7r7c	4.388496	51.204954
u1557cf8wtgv	4.387262	51.206020
u1557cbusb04	4.384779	51.206675
u1557b581p2n	4.388394	51.196329
u1555zf27d7c	4.386790	51.194971
u1555z8dyjzy	4.384500	51.194046
u1555z853yu5	4.383625	51.194137
u1555xz33225	4.382569	51.195132
u1555xywq25v	4.381759	51.195990
u1555z9rcx8h	4.385326	51.194914
u1555z8nff01	4.383663	51.194712
u1557bt2x92n	4.391077	51.199129
u1557buzr0eu	4.390374	51.201657
u1557c13ncxv	4.385562	51.201963
u15578n64kzg	4.381249	51.196659
u15578p1b384	4.382182	51.196598
u15578p38g7f	4.382553	51.196564
u1555zc6mdzf	4.385508	51.195317
u1555ztsgy7z	4.391264	51.194393
u1555zt28jk0	4.390760	51.193657
u1555zmq150j	4.390798	51.193216
u1557cg9g9xg	4.388512	51.206211
u1555zqwcprg	4.392525	51.193367
u155k184rfrc	4.394875	51.204927
u1557cfygr00	4.387461	51.207098
u1557cew0t04	4.388373	51.205586
u1557cgybxpb	4.388727	51.207098
u1555z6jp9un	4.386619	51.193038
u15578pjqnu0	4.382434	51.197227
u15578pkx324	4.382826	51.197069
u1557b052k7g	4.383561	51.196870
u1557cuqvr5b	4.389612	51.207098
u155hpb1zbpc	4.394875	51.195216
u1555zzg125u	4.394247	51.195432
u1557bhhbpxz	4.389049	51.197146
u1557b5wbd8h	4.388373	51.197462
u1557b6bz97c	4.387649	51.197798
u1557b67queu	4.386930	51.198245
u1557b6jfhhp	4.386383	51.198672
u1557b3yvy8n	4.386195	51.198857
u1557b99mmh0	4.385836	51.199277
u1557b97x7zf	4.385583	51.199657
u1557b9r15k5	4.385310	51.200255
u1557bc0pz8n	4.385251	51.200450
u1557bc5z4gz	4.385224	51.201069
u1557bcq6nbn	4.385347	51.201519
u1557c1frwpu	4.386281	51.202201
u1557b2ecr2n	4.384285	51.198346
u1557b2tvrrg	4.384468	51.198689
u1557b8b800n	4.384575	51.199123
u15578z9pzev	4.383196	51.200622
u15578z84egy	4.382971	51.200430
u15578xj8vs5	4.382209	51.200010
u15578wubvpv	4.381871	51.199879
u15578ws3kzu	4.381549	51.199791
u15578pw4dgf	4.382971	51.197334
u15578pz42rb	4.383309	51.197492
u1557b20yh7v	4.383808	51.197815
u1557c0y7mk5	4.384720	51.202884
u1557c07zguh	4.384226	51.202447
u1557c06s0ev	4.384065	51.202215
u1557bbnt6xy	4.383781	51.201539
u1557bbhff24	4.383663	51.201237
u1557b3dq7rv	4.385884	51.198067
u1557b3ek6gb	4.385793	51.198235
u1557b3muk5z	4.385449	51.198672
u1555zdkw1k4	4.386898	51.194322
u1557cmb2kh0	4.391457	51.203220
u1557cmbdhhh	4.391533	51.203264
u155k0b5pzxf	4.394875	51.200965
u1557bzfqvk0	4.394483	51.200823
u1557cpth5zz	4.394027	51.202662
u1557cyd98u1	4.392541	51.206336
u1557cvtxj8j	4.391398	51.206877
u1557bwnz05f	4.392090	51.200195
u15578n5v6hh	4.381029	51.196944
u1557b4h01sh	4.386297	51.196985
u1557b4sevpf	4.387150	51.197089
u1557b5hs4s4	4.387842	51.197075
u155k185zurv	4.394875	51.205196
u1557b84zpzb	4.383856	51.199549
u1557b852nhj	4.383550	51.199627
u15578xezf04	4.383191	51.199691
u1557cq35fxc	4.392300	51.203341
u1557byruhey	4.392305	51.201765
u1557byykezf	4.393018	51.201502
u155k02nkf8h	4.394735	51.198749
