node_id	longitude	latitude
u155kefp3x5g	4.419320	51.218171
u155kefwexrf	4.420098	51.218043
u155kegn87xc	4.420645	51.218023
u155kegrrn2p	4.421268	51.218168
u155kegwgjef	4.421445	51.218077
u155keuyf75f	4.423129	51.218064
u155kevpen00	4.423499	51.218208
u155kevpm0zg	4.423596	51.218138
u155kevqxwh1	4.424041	51.218037
u155keyrux7u	4.425285	51.218259
u155keyxwsu0	4.425715	51.218201
u155keyzhyrg	4.425988	51.218124
u155kezqd1ev	4.426551	51.218013
u155mjmkwmbh	4.445955	51.225932
u155kgywgf7y	4.436583	51.218060
u155kgzpe0rg	4.437243	51.218178
u155kgzpvqhh	4.437334	51.218252
u155mh00j0xu	4.438702	51.218265
u155m5vp3tpz	4.445418	51.218161
u155m5vqbjs4	4.445692	51.218077
u155m5vx8tru	4.446062	51.218205
u155m5yw8mkj	4.447419	51.218033
u155m5yyctxf	4.447821	51.218077
u155m5zpry7z	4.448428	51.218168
u155m5zrd87g	4.448546	51.218178
u155m5zxxjkh	4.449082	51.218205
u155m7bpyzkh	4.449758	51.218259
u155m7br7gup	4.449973	51.218154
u155m7bxsq00	4.450332	51.218208
u155m7bytwey	4.450734	51.218040
u155m7cw8s0j	4.451544	51.218027
u155mk1bh85b	4.452065	51.218262
u155m7frgwgb	4.452708	51.218255
u155m7fryurb	4.452853	51.218242
u155m7gpc6kh	4.453642	51.218232
u1557u097mu0	4.384376	51.218507
u1557u41d380	4.386388	51.218527
u155kh01rvpu	4.394875	51.218504
u155kh092ehp	4.395245	51.218494
u155kh1125zg	4.395915	51.218497
u155kh115z7z	4.396071	51.218474
u155kh18x1xf	4.396902	51.218356
u155kh1b1e0j	4.396999	51.218279
u1557yeqny01	4.388298	51.233057
u155kh4c6q7u	4.398410	51.218511
u155kh52748j	4.399123	51.218319
u155kh5b34pc	4.399735	51.218316
u155khh1hk7g	4.400212	51.218457
u155khh94705	4.400808	51.218450
u155khj17crg	4.401569	51.218484
u155khj2uf7f	4.401950	51.218403
u155khj8fku4	4.402186	51.218416
u155khn08d0n	4.402792	51.218359
u155khn2t87f	4.403356	51.218349
u155khn8s45y	4.403635	51.218359
u155khnbv6rf	4.404037	51.218403
u155khp2gqxz	4.404638	51.218427
u155khp8g47f	4.404965	51.218403
u155khpbkzh1	4.405383	51.218343
u155kk00nrec	4.405791	51.218302
u155mm6ub9pb	4.453272	51.225949
u155kk1094b4	4.406934	51.218363
u155kk1bdqef	4.408023	51.218383
u155kkhbdfpy	4.412169	51.218359
u155kkj0nm8j	4.412652	51.218292
u155kkj34kbp	4.412824	51.218460
u155kkj8r401	4.413371	51.218316
u155kkp0tuey	4.415383	51.218373
u155kkp2m3rv	4.415710	51.218312
u155kkp93y2h	4.415892	51.218511
u155ks02ej7f	4.416981	51.218376
u155ks08nzec	4.417486	51.218302
u155ks10epu4	4.418011	51.218390
u155ks18h3bj	4.418746	51.218272
u155ks40f95f	4.419363	51.218396
u155ks513z8h	4.420699	51.218517
u155ks52d77y	4.421069	51.218366
u155ks58s8k4	4.421509	51.218349
u155ksjc01zg	4.424411	51.218443
u155ksjc0xrz	4.424433	51.218474
u155ksn20jev	4.425092	51.218292
u155ksn9m70p	4.425656	51.218494
u155ksn8zc8n	4.425763	51.218400
u155ksp34krg	4.426568	51.218457
u155ksp97wkh	4.426959	51.218511
u155ksp9pxrz	4.427136	51.218474
u155kd01xfrg	4.416847	51.207545
u155ku1crt5u	4.430221	51.218504
u1557bst8f2p	4.389757	51.199993
u155kup8ruxc	4.438133	51.218329
u155mh01n95z	4.438761	51.218440
u155mh0cxdgb	4.439834	51.218534
u155mh10tzgf	4.440102	51.218390
u155mh48mfpc	4.442167	51.218316
u155mhh9rdeg	4.444984	51.218490
u155mhj1d57u	4.445434	51.218537
u155mhj28xzf	4.445719	51.218390
u155mhj8k0b1	4.446201	51.218309
u155mhn02c2j	4.446748	51.218312
u155mhn07p8j	4.446845	51.218346
u155kenbykh4	4.426047	51.212919
u155mhnb2b5v	4.447784	51.218306
u155mhp02m0j	4.448100	51.218332
u155mhp8mgzv	4.449034	51.218326
u155mk02gnxz	4.449946	51.218427
u155mk08v4bn	4.450364	51.218406
u155mk10mzh1	4.451088	51.218343
u155mk12xbk4	4.451517	51.218349
u155mk19mbpg	4.451780	51.218477
u155mk1b550j	4.451995	51.218279
